"Rule" "itemsQttSelected" "thFinal" "trueTheta" "seFinal" "ciFinal_Down" "ciFinal_Up"
"GDI" "45" "-1.76525560784856" "-1.512846" "0.690503563369384" "-3.11861772324912" "-0.411893492447992"
"GDI" "45" "-1.76716529159228" "-1.555688" "0.706947639479036" "-3.1527572039268" "-0.381573379257768"
"GDI" "45" "-2.09458788538306" "-1.716215" "0.646521694853841" "-3.36174712252039" "-0.82742864824574"
"GDI" "45" "-1.81149352599094" "-1.569953" "0.686270342690312" "-3.15655868132191" "-0.466428370659969"
"GDI" "45" "-1.8302174867487" "-1.615387" "0.698865413682496" "-3.19996852760708" "-0.460466445890323"
"GDI" "45" "-1.94069193297314" "-1.618698" "0.657803658136666" "-3.2299634118197" "-0.651420454126574"
"GDI" "45" "-1.84632772764266" "-1.601999" "0.704074414442884" "-3.22628822238684" "-0.46636723289848"
"GDI" "45" "-1.57771191425681" "-1.521781" "0.762453974455728" "-3.07209424405946" "-0.0833295844541608"
"GDI" "45" "-2.00058303194578" "-1.67073" "0.670965995410154" "-3.31565221780075" "-0.685513846090813"
"GDI" "45" "-1.95998207566913" "-1.584929" "0.65466048809881" "-3.24309305444421" "-0.676871096894054"
"GDI" "45" "-1.87791316279388" "-1.562238" "0.670190620882812" "-3.19146264250073" "-0.564363683087031"
"GDI" "45" "-2.01338781076851" "-1.695871" "0.661825242720644" "-3.31054145056045" "-0.716234170976568"
"GDI" "45" "-1.86419318044584" "-1.625716" "0.686252212603513" "-3.20922280145965" "-0.519163559432029"
"GDI" "45" "-1.8116316916213" "-1.562714" "0.673907088138196" "-3.13246531329842" "-0.490798069944177"
"GDI" "45" "-1.81554215919713" "-1.539335" "0.657241055915928" "-3.10371095795342" "-0.527373360440831"
"GDI" "45" "-1.82756891462786" "-1.592641" "0.676236999057536" "-3.15296907779408" "-0.502168751461642"
"GDI" "45" "-1.86712148922654" "-1.578126" "0.681892394936888" "-3.20360602463461" "-0.53063695381848"
"GDI" "45" "-1.99841164287617" "-1.665267" "0.665345530092997" "-3.30246491913316" "-0.694358366619189"
"GDI" "45" "-1.88168114064863" "-1.636795" "0.692999392173854" "-3.23993499061754" "-0.523427290679733"
"GDI" "45" "-1.92767492148169" "-1.628444" "0.664834541110604" "-3.23072667773669" "-0.624623165226689"
"GDI" "45" "-1.89693937145885" "-1.544889" "0.651765824516401" "-3.17437691386504" "-0.619501829052649"
"GDI" "45" "-1.95090705045981" "-1.643471" "0.663175379067382" "-3.25070690886558" "-0.651107192054044"
"GDI" "45" "-1.74864916275767" "-1.545955" "0.694184048964379" "-3.10922489737005" "-0.388073428145301"
"GDI" "45" "-1.80466138354504" "-1.566432" "0.689522903702397" "-3.15610144131721" "-0.453221325772858"
"GDI" "45" "-1.82225059218952" "-1.548077" "0.684007655425908" "-3.16288096197398" "-0.481620222405053"
"GDI" "45" "-1.85631761620194" "-1.540799" "0.673383035661384" "-3.1761241138985" "-0.536511118505376"
"GDI" "45" "-1.77664590273482" "-1.59918" "0.706049552968579" "-3.16047759785384" "-0.392814207615797"
"GDI" "45" "-1.78806841389032" "-1.559313" "0.691738073109375" "-3.14385012391982" "-0.432286703860807"
"GDI" "45" "-1.89638210170203" "-1.59229" "0.680361717279675" "-3.22986656403001" "-0.562897639374041"
"GDI" "45" "-1.68265629191207" "-1.504158" "0.715212316487722" "-3.08444667352746" "-0.28086591029667"
"GDI" "45" "-1.83880596054187" "-1.508603" "0.650504791827768" "-3.11377192429502" "-0.56383999678872"
"GDI" "45" "-1.80207157810755" "-1.566828" "0.699492448435508" "-3.17305158449889" "-0.431091571716214"
"GDI" "45" "-1.97669629525283" "-1.66498" "0.673866490992455" "-3.29745034798642" "-0.655942242519229"
"GDI" "45" "-1.85354571154699" "-1.602406" "0.701571496163408" "-3.22860057660715" "-0.478490846486827"
"GDI" "45" "-2.04973477930846" "-1.706727" "0.659314539686999" "-3.34196753157858" "-0.757502027038339"
"GDI" "45" "-1.75143972130116" "-1.547245" "0.680053993798865" "-3.08432105668956" "-0.418558385912759"
"GDI" "45" "-1.86981158725299" "-1.637777" "0.700457864265479" "-3.24268377390118" "-0.496939400604809"
"GDI" "45" "-1.80544365833044" "-1.582299" "0.681901878479619" "-3.1419467811407" "-0.468940535520173"
"GDI" "45" "-1.66513988815269" "-1.531992" "0.69456149061137" "-3.02645539479943" "-0.303824381505949"
"GDI" "45" "-1.81247645563914" "-1.505886" "0.658036153482361" "-3.10220361698984" "-0.522749294288442"
